CITY_COUNTY,TOWNSHIP_CITY,VILLAGE,PARTY,YEAR,RECEIVED_VOTES,ISSUED_VOTES,RATE
南投縣,國姓鄉,北山村,DPP,2012,431,1038,0.41522157996146436
南投縣,國姓鄉,北山村,DPP,2016,487,939,0.5186368477103301
南投縣,國姓鄉,北山村,KMT,2008,681,1085,0.6276497695852534
南投縣,國姓鄉,北山村,KMT,2012,566,1038,0.5452793834296724
南投縣,國姓鄉,北山村,KMT,2016,252,939,0.268370607028754
南投縣,國姓鄉,北港村,DPP,2008,447,1324,0.3376132930513595
南投縣,國姓鄉,北港村,DPP,2012,536,1247,0.429831595829992
南投縣,國姓鄉,北港村,DPP,2016,570,1114,0.5116696588868941
南投縣,國姓鄉,北港村,KMT,2008,862,1324,0.6510574018126888
南投縣,國姓鄉,北港村,KMT,2012,661,1247,0.5300721732157178
南投縣,國姓鄉,北港村,KMT,2016,306,1114,0.2746858168761221
南投縣,國姓鄉,南港村,DPP,2008,364,1151,0.31624674196351
南投縣,國姓鄉,南港村,DPP,2012,413,1145,0.36069868995633186
南投縣,國姓鄉,南港村,DPP,2016,440,964,0.45643153526970953
南投縣,國姓鄉,南港村,KMT,2008,774,1151,0.6724587315377932
南投縣,國姓鄉,南港村,KMT,2012,676,1145,0.5903930131004367
南投縣,國姓鄉,南港村,KMT,2016,338,964,0.3506224066390041
南投縣,國姓鄉,國姓村,DPP,2008,399,1140,0.35
南投縣,國姓鄉,國姓村,DPP,2012,464,1124,0.4128113879003559
南投縣,國姓鄉,國姓村,DPP,2016,542,1035,0.523671497584541
南投縣,國姓鄉,國姓村,KMT,2008,740,1140,0.6491228070175439
南投縣,國姓鄉,國姓村,KMT,2012,631,1124,0.5613879003558719
南投縣,國姓鄉,國姓村,KMT,2016,330,1035,0.3188405797101449
南投縣,國姓鄉,大旗村,DPP,2008,216,516,0.4186046511627907
南投縣,國姓鄉,大旗村,DPP,2012,239,490,0.48775510204081635
南投縣,國姓鄉,大旗村,DPP,2016,242,430,0.5627906976744186
南投縣,國姓鄉,大旗村,KMT,2008,293,516,0.5678294573643411
南投縣,國姓鄉,大旗村,KMT,2012,238,490,0.4857142857142857
南投縣,國姓鄉,大旗村,KMT,2016,123,430,0.28604651162790695
南投縣,國姓鄉,大石村,DPP,2008,173,460,0.3760869565217391
南投縣,國姓鄉,大石村,DPP,2012,200,459,0.4357298474945534
南投縣,國姓鄉,大石村,DPP,2016,243,472,0.5148305084745762
南投縣,國姓鄉,大石村,KMT,2008,285,460,0.6195652173913043
南投縣,國姓鄉,大石村,KMT,2012,239,459,0.5206971677559913
南投縣,國姓鄉,大石村,KMT,2016,126,472,0.2669491525423729
南投縣,國姓鄉,柑林村,DPP,2008,264,812,0.3251231527093596
南投縣,國姓鄉,柑林村,DPP,2012,330,833,0.39615846338535415
南投縣,國姓鄉,柑林村,DPP,2016,346,711,0.4866385372714487
南投縣,國姓鄉,柑林村,KMT,2008,541,812,0.666256157635468
南投縣,國姓鄉,柑林村,KMT,2012,468,833,0.5618247298919568
南投縣,國姓鄉,柑林村,KMT,2016,233,711,0.32770745428973275
南投縣,國姓鄉,石門村,DPP,2008,314,1144,0.2744755244755245
南投縣,國姓鄉,石門村,DPP,2012,419,1117,0.37511190689346463
南投縣,國姓鄉,石門村,DPP,2016,504,1024,0.4921875
南投縣,國姓鄉,石門村,KMT,2008,809,1144,0.7071678321678322
南投縣,國姓鄉,石門村,KMT,2012,661,1117,0.5917636526410027
