city_county,township_city,village,issued_votes_2016,population_2016,dpp_over_kmt_rates_2008,dpp_over_kmt_rates_2012,dpp_over_kmt_rates_2016,changes_at_2012,changes_at_2016,fullvill
南投縣,名間鄉,大坑村,490,748,0.218868,0.266174,0.469388,0.0473058,0.203214,南投縣名間鄉大坑村
南投縣,名間鄉,大庄村,1276,1815,0.206897,0.321557,0.528213,0.114661,0.206656,南投縣名間鄉大庄村
南投縣,名間鄉,崁腳村,592,855,-0.186978,-0.11755,0.175676,0.0694286,0.293225,南投縣名間鄉崁腳村
南投縣,名間鄉,廍下村,580,896,,,0.363793,,,南投縣名間鄉廍下村
南投縣,名間鄉,新光村,1106,1713,0.00165701,0.10415,0.389693,0.102493,0.285543,南投縣名間鄉新光村
南投縣,名間鄉,新厝村,522,789,0.0459183,0.0454546,0.310345,-0.000463784,0.26489,南投縣名間鄉新厝村
南投縣,名間鄉,新民村,647,963,0.00134048,0.162162,0.374034,0.160822,0.211872,南投縣名間鄉新民村
南投縣,名間鄉,新街村,2712,4079,-0.0311143,0.0949565,0.372788,0.126071,0.277831,南投縣名間鄉新街村
南投縣,名間鄉,東湖村,1066,1582,-0.00731114,0.120034,0.380863,0.127345,0.260829,南投縣名間鄉東湖村
南投縣,名間鄉,松山村,998,1529,-0.0903285,0.0387454,0.354709,0.129074,0.315964,南投縣名間鄉松山村
南投縣,名間鄉,松柏村,772,1150,0.0692951,0.194836,0.481865,0.125541,0.28703,南投縣名間鄉松柏村
南投縣,名間鄉,濁水村,950,1555,-0.03407,0.0754717,0.325263,0.109542,0.249791,南投縣名間鄉濁水村
南投縣,名間鄉,炭寮村,650,991,-0.0525606,0.018759,0.361538,0.0713196,0.342779,南投縣名間鄉炭寮村
南投縣,名間鄉,田仔村,823,1244,0.124022,0.199139,0.432564,0.0751165,0.233425,南投縣名間鄉田仔村
南投縣,名間鄉,竹圍村,637,928,0.258571,0.335725,0.452119,0.0771531,0.116395,南投縣名間鄉竹圍村
南投縣,名間鄉,萬丹村,611,945,0.102011,0.18118,0.461538,0.0791683,0.280359,南投縣名間鄉萬丹村
南投縣,名間鄉,赤水村,833,1212,0.124444,0.239326,0.415366,0.114881,0.17604,南投縣名間鄉赤水村
南投縣,國姓鄉,乾溝村,517,844,-0.352622,-0.111876,0.187621,0.240746,0.299497,南投縣國姓鄉乾溝村
南投縣,國姓鄉,北山村,939,1536,-0.261751,-0.130058,0.250266,0.131693,0.380324,南投縣國姓鄉北山村
南投縣,國姓鄉,北港村,1114,1889,-0.313444,-0.100241,0.236984,0.213204,0.337224,南投縣國姓鄉北港村
南投縣,國姓鄉,南港村,964,1692,-0.356212,-0.229694,0.105809,0.126518,0.335503,南投縣國姓鄉南港村
南投縣,國姓鄉,國姓村,1035,1643,-0.299123,-0.148576,0.204831,0.150546,0.353407,南投縣國姓鄉國姓村
南投縣,國姓鄉,大旗村,430,700,-0.149225,0.0020408,0.276744,0.151266,0.274703,南投縣國姓鄉大旗村
南投縣,國姓鄉,大石村,472,755,-0.243478,-0.0849673,0.247881,0.158511,0.332849,南投縣國姓鄉大石村
南投縣,國姓鄉,柑林村,711,1144,-0.341133,-0.165666,0.158931,0.175467,0.324597,南投縣國姓鄉柑林村
南投縣,國姓鄉,石門村,1024,1673,-0.432692,-0.216652,0.180664,0.216041,0.397316,南投縣國姓鄉石門村
南投縣,國姓鄉,福龜村,1140,1820,-0.360592,-0.243808,0.095614,0.116784,0.339422,南投縣國姓鄉福龜村
南投縣,國姓鄉,長流村,850,1388,-0.32839,-0.245425,0.107059,0.0829647,0.352484,南投縣國姓鄉長流村
南投縣,國姓鄉,長福村,402,698,-0.278281,-0.0759219,0.0970149,0.202359,0.172937,南投縣國姓鄉長福村
南投縣,國姓鄉,長豐村,425,759,-0.389199,-0.3138,0.00941175,0.0753996,0.323211,南投縣國姓鄉長豐村
南投縣,埔里鎮,一新里,723,1005,-0.468085,-0.391076,-0.258645,0.0770091,0.132432,南投縣埔里鎮一新里
南投縣,埔里鎮,北安里,1972,3095,-0.361123,-0.250113,0.0948276,0.11101,0.344941,南投縣埔里鎮北安里
南投縣,埔里鎮,北梅里,1825,2981,-0.275299,-0.206595,0.125479,0.0687047,0.332074,南投縣埔里鎮北梅里
南投縣,埔里鎮,北門里,1437,2395,-0.384833,-0.235048,0.098817,0.149785,0.333865,南投縣埔里鎮北門里
南投縣,埔里鎮,南村里,752,1303,-0.307068,-0.186761,0.208777,0.120307,0.395538,南投縣埔里鎮南村里
南投縣,埔里鎮,南門里,566,832,-0.132857,-0.0835777,0.132509,0.0492795,0.216087,南投縣埔里鎮南門里
南投縣,埔里鎮,史港里,380,605,-0.280412,-0.214592,0.0578947,0.0658201,0.272487,南投縣埔里鎮史港里
南投縣,埔里鎮,合成里,1033,1583,-0.103036,-0.00274223,0.263311,0.100294,0.266053,南投縣埔里鎮合成里
南投縣,埔里鎮,同聲里,1387,2208,-0.290146,-0.158125,0.122567,0.132021,0.280692,南投縣埔里鎮同聲里
南投縣,埔里鎮,向善里,406,640,-0.140426,-0.10828,0.125616,0.0321453,0.233896,南投縣埔里鎮向善里
南投縣,埔里鎮,大城里,3430,5586,-0.360222,-0.247934,0.0982507,0.112288,0.346185,南投縣埔里鎮大城里
南投縣,埔里鎮,大湳里,943,1478,-0.126582,-0.0688936,0.274655,0.0576887,0.343549,南投縣埔里鎮大湳里
南投縣,埔里鎮,廣成里,713,1139,-0.171537,-0.0348259,0.140252,0.136712,0.175078,南投縣埔里鎮廣成里
南投縣,埔里鎮,愛蘭里,882,1383,-0.378223,-0.27689,0.0736962,0.101333,0.350586,南投縣埔里鎮愛蘭里
南投縣,埔里鎮,成功里,183,330,-0.270386,-0.117925,0.0928962,0.152462,0.210821,南投縣埔里鎮成功里
南投縣,埔里鎮,房里里,818,1299,-0.296552,-0.156028,0.217604,0.140523,0.373632,南投縣埔里鎮房里里
南投縣,埔里鎮,東門里,1663,2662,-0.257752,-0.159324,0.13169,0.0984282,0.291013,南投縣埔里鎮東門里
南投縣,埔里鎮,杷城里,1573,2532,-0.221781,-0.137369,0.188175,0.0844121,0.325545,南投縣埔里鎮杷城里
南投縣,埔里鎮,枇杷里,4053,7083,-0.311941,-0.238897,0.158154,0.0730436,0.397052,南投縣埔里鎮枇杷里
南投縣,埔里鎮,桃米里,597,1008,-0.300279,-0.173333,0.150754,0.126946,0.324087,南投縣埔里鎮桃米里
南投縣,埔里鎮,水頭里,2054,3595,-0.263716,-0.140452,0.25852,0.123264,0.398972,南投縣埔里鎮水頭里
南投縣,埔里鎮,泰安里,1324,2093,-0.354041,-0.313014,0.0755287,0.0410277,0.388542,南投縣埔里鎮泰安里
南投縣,埔里鎮,清新里,2107,3554,-0.315326,-0.256678,0.141908,0.0586483,0.398586,南投縣埔里鎮清新里
南投縣,埔里鎮,溪南里,672,1069,-0.372881,-0.246088,0.0565476,0.126793,0.302636,南投縣埔里鎮溪南里
南投縣,埔里鎮,牛眠里,1717,2738,-0.0486339,0.0353887,0.345952,0.0840226,0.310564,南投縣埔里鎮牛眠里
南投縣,埔里鎮,珠格里,655,1067,-0.180207,-0.0591472,0.256489,0.12106,0.315636,南投縣埔里鎮珠格里
南投縣,埔里鎮,福興里,627,977,-0.0111732,0.0905172,0.360447,0.10169,0.269929,南投縣埔里鎮福興里
南投縣,埔里鎮,籃城里,631,925,-0.0504732,0.0256024,0.329635,0.0760756,0.304033,南投縣埔里鎮籃城里
南投縣,埔里鎮,薰化里,734,1047,-0.23918,-0.151445,0.182561,0.0877349,0.334006,南投縣埔里鎮薰化里
南投縣,埔里鎮,蜈蚣里,1441,2571,-0.321181,-0.170225,0.196391,0.150955,0.366617,南投縣埔里鎮蜈蚣里
南投縣,埔里鎮,西門里,1857,3026,-0.277626,-0.186588,0.160474,0.0910379,0.347062,南投縣埔里鎮西門里
南投縣,埔里鎮,鐵山里,970,1620,-0.35747,-0.206897,0.151546,0.150574,0.358443,南投縣埔里鎮鐵山里
南投縣,埔里鎮,麒麟里,574,1033,-0.212121,-0.0688576,0.221254,0.143264,0.290112,南投縣埔里鎮麒麟里
南投縣,水里鄉,上安村,613,1108,-0.30203,-0.219415,0.156607,0.0826155,0.376022,南投縣水里鄉上安村
南投縣,水里鄉,中央村,404,625,-0.219368,-0.255717,0.0470297,-0.0363497,0.302747,南投縣水里鄉中央村
南投縣,水里鄉,北埔村,598,987,-0.390671,-0.276074,0.117057,0.114597,0.39313,南投縣水里鄉北埔村
南投縣,水里鄉,南光村,983,1524,-0.280855,-0.146154,0.159715,0.134701,0.305869,南投縣水里鄉南光村
南投縣,水里鄉,城中村,538,875,-0.336449,-0.219118,0.0892193,0.117331,0.308337,南投縣水里鄉城中村
南投縣,水里鄉,新城村,904,1559,-0.217232,-0.0839552,0.232301,0.133277,0.316256,南投縣水里鄉新城村
南投縣,水里鄉,新山村,124,218,-0.234127,-0.0974359,0.274194,0.136691,0.371629,南投縣水里鄉新山村
南投縣,水里鄉,新興村,345,628,-0.501222,-0.340686,0.0869565,0.160536,0.427643,南投縣水里鄉新興村
南投縣,水里鄉,民和村,562,910,0.0643185,0.135464,0.368327,0.0711457,0.232863,南投縣水里鄉民和村
南投縣,水里鄉,水里村,444,748,-0.339901,-0.159049,0.0675676,0.180852,0.226617,南投縣水里鄉水里村
南投縣,水里鄉,永興村,225,344,-0.106383,0.0321101,0.302222,0.138493,0.270112,南投縣水里鄉永興村
南投縣,水里鄉,永豐村,871,1383,-0.199786,-0.0749487,0.225029,0.124838,0.299977,南投縣水里鄉永豐村
